"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1416","29","SAS","263","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1417","30","UTA","296","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"1418","31","CHO","213","PowerSchool","SecondRound","AverageCareer","Eastern"
"1419","32","PHO","79","OtherCollege","SecondRound","ShortCareer","Western"
"1420","33","ORL","226","OtherCollege","SecondRound","AverageCareer","Eastern"
"1421","34","SAC","103","PowerSchool","SecondRound","ShortCareer","Western"
"1422","35","ORL","85","OtherCollege","SecondRound","ShortCareer","Eastern"
"1423","36","PHI","51","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1424","37","BOS","284","OtherCollege","SecondRound","AverageCareer","Eastern"
"1425","38","CHI","161","OtherCollege","SecondRound","ShortCareer","Eastern"
"1426","39","PHI","56","OtherCollege","SecondRound","ShortCareer","Eastern"
"1427","40","NOP","207","OtherCollege","SecondRound","AverageCareer","Western"
"1428","41","ATL","104","OtherCollege","SecondRound","ShortCareer","Eastern"
"1429","42","UTA","170","PowerSchool","SecondRound","ShortCareer","Western"
"1430","43","HOU","165","NonCollegiate","SecondRound","ShortCareer","Western"
"1431","44","NYK","213","OtherCollege","SecondRound","AverageCareer","Eastern"
"1432","45","HOU","272","OtherCollege","SecondRound","AverageCareer","Western"
"1433","46","PHI","264","OtherCollege","SecondRound","AverageCareer","Eastern"
"1434","47","IND","14","PowerSchool","SecondRound","ShortCareer","Eastern"
"1435","48","MIL","160","OtherCollege","SecondRound","ShortCareer","Eastern"
"1436","49","DEN","70","NonCollegiate","SecondRound","ShortCareer","Western"
"1437","51","DEN","280","OtherCollege","SecondRound","AverageCareer","Western"
"1438","52","NOP","108","OtherCollege","SecondRound","ShortCareer","Western"
"1439","53","BOS","47","OtherCollege","SecondRound","ShortCareer","Eastern"
"1440","54","PHO","20","OtherCollege","SecondRound","ShortCareer","Western"
"1441","55","UTA","10","OtherCollege","SecondRound","ShortCareer","Western"
"1442","56","BOS","13","OtherCollege","SecondRound","ShortCareer","Eastern"
"1443","59","SAS","27","OtherCollege","SecondRound","ShortCareer","Western"
"1444","1","PHO","236","OtherCollege","Top5","AverageCareer","Western"
"1445","2","SAC","166","PowerSchool","Top5","ShortCareer","Western"
"1446","3","ATL","264","NonCollegiate","Top5","AverageCareer","Eastern"
"1447","4","MEM","204","OtherCollege","Top5","AverageCareer","Western"
"1448","5","DAL","280","OtherCollege","Top5","AverageCareer","Western"
"1449","6","ORL","226","OtherCollege","Lottery","AverageCareer","Eastern"
"1450","7","CHI","203","PowerSchool","Lottery","AverageCareer","Eastern"
"1451","8","CLE","218","OtherCollege","Lottery","AverageCareer","Eastern"
"1452","9","NYK","212","PowerSchool","Lottery","AverageCareer","Eastern"
"1453","10","PHI","309","PowerSchool","Lottery","AverageCareer","Eastern"
"1454","11","CHO","243","PowerSchool","Lottery","AverageCareer","Eastern"
"1455","12","LAC","291","OtherCollege","Lottery","AverageCareer","Western"
"1456","13","LAC","113","OtherCollege","Lottery","ShortCareer","Western"
"1457","14","DEN","125","OtherCollege","Lottery","ShortCareer","Western"
"1458","15","WAS","221","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1459","16","PHO","13","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1460","17","MIL","201","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"1461","18","SAS","208","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1462","19","ATL","274","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1463","20","MIN","244","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1464","21","UTA","192","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1465","22","CHI","103","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1466","23","IND","245","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"1467","24","POR","211","NonCollegiate","MidtoLateFirst","AverageCareer","Western"
"1468","25","LAL","196","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1469","26","PHI","262","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1470","27","BOS","174","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1471","28","GSW","59","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1472","29","BRK","49","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1473","30","ATL","95","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"1474","31","PHO","108","NonCollegiate","SecondRound","ShortCareer","Western"
"1475","32","MEM","223","OtherCollege","SecondRound","AverageCareer","Western"
"1476","33","DAL","277","PowerSchool","SecondRound","AverageCareer","Western"
"1477","34","ATL","240","PowerSchool","SecondRound","AverageCareer","Eastern"
"1478","35","ORL","32","OtherCollege","SecondRound","ShortCareer","Eastern"
"1479","36","NYK","230","NonCollegiate","SecondRound","AverageCareer","Eastern"
"1480","37","SAC","204","PowerSchool","SecondRound","AverageCareer","Western"
"1481","38","PHI","39","OtherCollege","SecondRound","ShortCareer","Eastern"
"1482","39","PHI","143","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1483","40","BRK","131","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1484","41","ORL","166","PowerSchool","SecondRound","ShortCareer","Eastern"
"1485","42","DET","269","OtherCollege","SecondRound","AverageCareer","Eastern"
"1486","45","BRK","207","PowerSchool","SecondRound","AverageCareer","Eastern"
"1487","46","HOU","235","OtherCollege","SecondRound","AverageCareer","Western"
"1488","47","LAL","220","PowerSchool","SecondRound","AverageCareer","Western"
"1489","48","MIN","163","OtherCollege","SecondRound","ShortCareer","Western"
"1490","49","SAS","143","OtherCollege","SecondRound","ShortCareer","Western"
"1491","50","IND","72","OtherCollege","SecondRound","ShortCareer","Eastern"
"1492","52","UTA","2","OtherCollege","SecondRound","ShortCareer","Western"
"1493","53","OKC","11","OtherCollege","SecondRound","ShortCareer","Western"
"1494","54","DAL","178","OtherCollege","SecondRound","ShortCareer","Western"
"1495","55","CHO","2","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1496","56","PHI","16","PowerSchool","SecondRound","ShortCareer","Eastern"
"1497","57","OKC","10","OtherCollege","SecondRound","ShortCareer","Western"
"1498","58","DEN","11","PowerSchool","SecondRound","ShortCareer","Western"
"1499","59","PHO","5","OtherCollege","SecondRound","ShortCareer","Western"
"1500","60","PHI","22","OtherCollege","SecondRound","ShortCareer","Eastern"
"1501","1","NOP","85","PowerSchool","Top5","ShortCareer","Western"
"1502","2","MEM","187","OtherCollege","Top5","ShortCareer","Western"
"1503","3","NYK","198","PowerSchool","Top5","ShortCareer","Eastern"
"1504","4","LAL","139","OtherCollege","Top5","ShortCareer","Western"
"1505","5","CLE","181","OtherCollege","Top5","ShortCareer","Eastern"
"1506","6","PHO","134","OtherCollege","Lottery","ShortCareer","Western"
"1507","7","CHI","195","OtherCollege","Lottery","ShortCareer","Eastern"
"1508","8","ATL","194","OtherCollege","Lottery","ShortCareer","Eastern"
"1509","9","WAS","147","OtherCollege","Lottery","ShortCareer","Eastern"
"1510","10","ATL","133","PowerSchool","Lottery","ShortCareer","Eastern"
"1511","11","MIN","183","OtherCollege","Lottery","ShortCareer","Western"
"1512","12","CHO","187","PowerSchool","Lottery","ShortCareer","Eastern"
"1513","13","MIA","175","PowerSchool","Lottery","ShortCareer","Eastern"
"1514","14","BOS","98","PowerSchool","Lottery","ShortCareer","Eastern"
"1515","15","DET","96","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1516","16","ORL","115","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1517","17","BRK","158","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1518","18","IND","149","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1519","19","SAS","36","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"1520","20","BOS","196","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1521","21","OKC","181","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1522","22","BOS","209","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1523","23","UTA","185","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"1524","24","PHI","112","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1525","25","POR","138","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1526","26","CLE","81","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1527","27","BRK","51","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1528","28","GSW","184","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1529","29","SAS","161","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1530","30","MIL","137","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1531","31","BRK","94","OtherCollege","SecondRound","ShortCareer","Eastern"
