"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"334",24.5,10,"Lottery","OtherCollege","Eastern"
"335",19.5,11,"Lottery","OtherCollege","Eastern"
"336",15.8,12,"Lottery","PowerSchool","Western"
"337",22.8,13,"Lottery","OtherCollege","Western"
"338",23.9,14,"Lottery","OtherCollege","Eastern"
"339",25.9,15,"MidtoLateFirst","OtherCollege","Western"
"340",21.1,16,"MidtoLateFirst","PowerSchool","Eastern"
"341",23.7,17,"MidtoLateFirst","OtherCollege","Eastern"
"342",25.3,18,"MidtoLateFirst","OtherCollege","Eastern"
"343",7.9,19,"MidtoLateFirst","OtherCollege","Eastern"
"344",19.6,20,"MidtoLateFirst","OtherCollege","Eastern"
"345",34.4,21,"MidtoLateFirst","OtherCollege","Western"
"346",9.8,22,"MidtoLateFirst","PowerSchool","Western"
"347",21.4,23,"MidtoLateFirst","OtherCollege","Eastern"
"348",14.6,24,"MidtoLateFirst","OtherCollege","Western"
"349",9.8,25,"MidtoLateFirst","OtherCollege","Eastern"
"350",5,26,"MidtoLateFirst","OtherCollege","Western"
"351",8.9,27,"MidtoLateFirst","OtherCollege","Western"
"352",19.5,28,"MidtoLateFirst","PowerSchool","Western"
"353",15.8,29,"MidtoLateFirst","OtherCollege","Western"
"354",7.3,30,"MidtoLateFirst","OtherCollege","Eastern"
"355",13.9,31,"SecondRound","NonCollegiate","Eastern"
"356",11.3,32,"SecondRound","OtherCollege","Eastern"
"357",8.1,33,"SecondRound","OtherCollege","Eastern"
"358",16.8,34,"SecondRound","OtherCollege","Western"
"359",13.9,35,"SecondRound","OtherCollege","Eastern"
"360",15.2,36,"SecondRound","OtherCollege","Western"
"361",6.1,37,"SecondRound","OtherCollege","Western"
"363",7.7,39,"SecondRound","PowerSchool","Eastern"
"364",15.3,40,"SecondRound","OtherCollege","Western"
"366",6.5,42,"SecondRound","OtherCollege","Eastern"
"367",27.3,43,"SecondRound","OtherCollege","Eastern"
"371",21,47,"SecondRound","PowerSchool","Western"
"372",16,48,"SecondRound","OtherCollege","Western"
"373",11.2,49,"SecondRound","OtherCollege","Western"
"374",9.6,50,"SecondRound","OtherCollege","Western"
"376",18.4,52,"SecondRound","OtherCollege","Eastern"
"379",4,55,"SecondRound","OtherCollege","Western"
"380",15.2,56,"SecondRound","OtherCollege","Western"
"381",4.6,57,"SecondRound","OtherCollege","Eastern"
"382",13.3,58,"SecondRound","OtherCollege","Eastern"
"383",41.1,1,"Top5","OtherCollege","Eastern"
"384",29.5,2,"Top5","OtherCollege","Eastern"
"385",34.8,3,"Top5","OtherCollege","Western"
"386",37.7,4,"Top5","OtherCollege","Eastern"
"387",35.6,5,"Top5","PowerSchool","Western"
"388",35.3,6,"Lottery","PowerSchool","Eastern"
"389",23.8,7,"Lottery","OtherCollege","Western"
"390",33.4,8,"Lottery","PowerSchool","Eastern"
"391",17.1,9,"Lottery","PowerSchool","Western"
"392",24.3,10,"Lottery","OtherCollege","Eastern"
"393",11.1,11,"Lottery","OtherCollege","Western"
"394",19,12,"Lottery","OtherCollege","Eastern"
"395",36.1,13,"Lottery","NonCollegiate","Western"
"396",33.5,14,"Lottery","NonCollegiate","Western"
"397",31.3,15,"MidtoLateFirst","OtherCollege","Western"
"398",21.5,16,"MidtoLateFirst","PowerSchool","Western"
"399",27.1,17,"MidtoLateFirst","NonCollegiate","Western"
"400",16.1,18,"MidtoLateFirst","OtherCollege","Eastern"
"401",17.5,19,"MidtoLateFirst","PowerSchool","Eastern"
"402",27.2,20,"MidtoLateFirst","NonCollegiate","Eastern"
"403",6.1,21,"MidtoLateFirst","OtherCollege","Eastern"
"404",16.9,22,"MidtoLateFirst","OtherCollege","Western"
"405",4.1,23,"MidtoLateFirst","NonCollegiate","Western"
"406",25.4,24,"MidtoLateFirst","OtherCollege","Western"
"407",11.5,25,"MidtoLateFirst","NonCollegiate","Western"
"408",21.7,26,"MidtoLateFirst","OtherCollege","Eastern"
"409",10.8,27,"MidtoLateFirst","PowerSchool","Eastern"
"410",7.1,28,"MidtoLateFirst","OtherCollege","Eastern"
"411",12.3,29,"MidtoLateFirst","PowerSchool","Eastern"
"412",19.6,30,"MidtoLateFirst","OtherCollege","Western"
"413",13.2,31,"SecondRound","OtherCollege","Eastern"
"415",17.2,33,"SecondRound","OtherCollege","Eastern"
"419",27.7,37,"SecondRound","OtherCollege","Western"
"420",7.7,38,"SecondRound","OtherCollege","Eastern"
"423",7.7,41,"SecondRound","OtherCollege","Western"
"424",13.2,42,"SecondRound","OtherCollege","Western"
"425",3.9,43,"SecondRound","OtherCollege","Western"
"426",16.5,44,"SecondRound","OtherCollege","Western"
"428",8.5,46,"SecondRound","OtherCollege","Western"
"430",21.5,48,"SecondRound","OtherCollege","Eastern"
"431",8.5,49,"SecondRound","OtherCollege","Eastern"
"433",14.4,51,"SecondRound","OtherCollege","Western"
"434",10.7,52,"SecondRound","PowerSchool","Eastern"
"435",3.7,53,"SecondRound","OtherCollege","Eastern"
"436",22.2,54,"SecondRound","OtherCollege","Western"
"438",9.2,56,"SecondRound","OtherCollege","Eastern"
"439",10,57,"SecondRound","OtherCollege","Western"
"441",34,1,"Top5","OtherCollege","Western"
"442",31.6,2,"Top5","OtherCollege","Eastern"
"443",31.6,3,"Top5","OtherCollege","Eastern"
