"","total_minutes_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"524",3726,27,"MidtoLateFirst","NonCollegiate","Western"
"525",2191,28,"MidtoLateFirst","OtherCollege","Eastern"
"526",15891,29,"MidtoLateFirst","PowerSchool","Western"
"527",1301,30,"MidtoLateFirst","OtherCollege","Western"
"528",15955,31,"SecondRound","PowerSchool","Western"
"529",33541,32,"SecondRound","NonCollegiate","Western"
"530",3824,33,"SecondRound","PowerSchool","Western"
"531",5351,34,"SecondRound","OtherCollege","Eastern"
"532",524,35,"SecondRound","NonCollegiate","Western"
"533",4771,36,"SecondRound","OtherCollege","Western"
"534",14,37,"SecondRound","OtherCollege","Eastern"
"535",37,38,"SecondRound","OtherCollege","Eastern"
"536",19392,39,"SecondRound","OtherCollege","Eastern"
"537",15,40,"SecondRound","NonCollegiate","Eastern"
"538",27618,41,"SecondRound","OtherCollege","Western"
"539",19,42,"SecondRound","OtherCollege","Eastern"
"540",5913,43,"SecondRound","OtherCollege","Eastern"
"541",2275,44,"SecondRound","OtherCollege","Eastern"
"542",698,45,"SecondRound","PowerSchool","Western"
"543",304,46,"SecondRound","PowerSchool","Western"
"544",3,47,"SecondRound","OtherCollege","Eastern"
"545",397,48,"SecondRound","OtherCollege","Eastern"
"546",624,49,"SecondRound","OtherCollege","Eastern"
"549",687,52,"SecondRound","OtherCollege","Western"
"550",10895,53,"SecondRound","OtherCollege","Western"
"551",1233,54,"SecondRound","OtherCollege","Western"
"552",6502,55,"SecondRound","OtherCollege","Western"
"553",331,56,"SecondRound","PowerSchool","Western"
"554",178,57,"SecondRound","OtherCollege","Western"
"555",831,58,"SecondRound","OtherCollege","Eastern"
"556",34910,1,"Top5","PowerSchool","Eastern"
"557",21632,2,"Top5","OtherCollege","Western"
"558",28592,3,"Top5","PowerSchool","Western"
"559",32131,4,"Top5","OtherCollege","Western"
"560",3847,5,"Top5","NonCollegiate","Eastern"
"561",20052,6,"Lottery","OtherCollege","Western"
"562",29559,7,"Lottery","PowerSchool","Eastern"
"563",40268,8,"Lottery","OtherCollege","Eastern"
"564",40097,9,"Lottery","OtherCollege","Western"
"565",42034,10,"Lottery","OtherCollege","Eastern"
"566",1738,11,"Lottery","PowerSchool","Eastern"
"567",152,12,"Lottery","OtherCollege","Eastern"
"568",23358,13,"Lottery","PowerSchool","Western"
"569",1205,14,"Lottery","PowerSchool","Western"
"571",31440,16,"MidtoLateFirst","OtherCollege","Eastern"
"572",1383,17,"MidtoLateFirst","OtherCollege","Eastern"
"573",23260,18,"MidtoLateFirst","OtherCollege","Western"
"574",1853,19,"MidtoLateFirst","OtherCollege","Western"
"575",6132,20,"MidtoLateFirst","OtherCollege","Eastern"
"576",15750,21,"MidtoLateFirst","OtherCollege","Western"
