"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1677",10,55,"SecondRound","OtherCollege","Western"
"1678",13,56,"SecondRound","OtherCollege","Eastern"
"1681",27,59,"SecondRound","OtherCollege","Western"
"1683",236,1,"Top5","OtherCollege","Western"
"1684",166,2,"Top5","PowerSchool","Western"
"1685",264,3,"Top5","NonCollegiate","Eastern"
"1686",204,4,"Top5","OtherCollege","Western"
"1687",280,5,"Top5","OtherCollege","Western"
"1688",226,6,"Lottery","OtherCollege","Eastern"
"1689",203,7,"Lottery","PowerSchool","Eastern"
"1690",218,8,"Lottery","OtherCollege","Eastern"
"1691",212,9,"Lottery","PowerSchool","Eastern"
"1692",309,10,"Lottery","PowerSchool","Eastern"
"1693",243,11,"Lottery","PowerSchool","Eastern"
"1694",291,12,"Lottery","OtherCollege","Western"
"1695",113,13,"Lottery","OtherCollege","Western"
"1696",125,14,"Lottery","OtherCollege","Western"
"1697",221,15,"MidtoLateFirst","OtherCollege","Eastern"
"1698",13,16,"MidtoLateFirst","OtherCollege","Western"
"1699",201,17,"MidtoLateFirst","PowerSchool","Eastern"
"1700",208,18,"MidtoLateFirst","OtherCollege","Western"
"1701",274,19,"MidtoLateFirst","OtherCollege","Eastern"
"1702",244,20,"MidtoLateFirst","OtherCollege","Western"
"1703",192,21,"MidtoLateFirst","PowerSchool","Western"
"1704",103,22,"MidtoLateFirst","OtherCollege","Eastern"
"1705",245,23,"MidtoLateFirst","PowerSchool","Eastern"
"1706",211,24,"MidtoLateFirst","NonCollegiate","Western"
"1707",196,25,"MidtoLateFirst","OtherCollege","Western"
"1708",262,26,"MidtoLateFirst","OtherCollege","Eastern"
"1709",174,27,"MidtoLateFirst","OtherCollege","Eastern"
"1710",59,28,"MidtoLateFirst","PowerSchool","Western"
"1711",49,29,"MidtoLateFirst","NonCollegiate","Eastern"
"1712",95,30,"MidtoLateFirst","PowerSchool","Eastern"
"1713",108,31,"SecondRound","NonCollegiate","Western"
"1714",223,32,"SecondRound","OtherCollege","Western"
